id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1388975533245767431,"Blueground | Piedmont Pines, w/d, nr parks",107434423,,,Shepherd Canyon,37.8309945,-122.1943397,Entire home/apt,313,31,0,,,21,365,0,
1389424201733574783,The peaceful 2 bedroom,194724884,Ej,,Elmhurst Park,37.74674,-122.17538,Entire home/apt,67,2,8,2025-08-31,1.97,2,81,8,
1389883810948612233,Pill Hill - Basement,332219736,Marlene,,Pill Hill,37.81771259245955,-122.26589179001269,Entire home/apt,108,1,6,2025-09-05,1.89,4,83,6,
1390117659268347362,Brand New Luxury Studio - 3406,687639786,Kanwalpreet,,Bartlett,37.788092,-122.2136638,Entire home/apt,86,1,21,2025-09-06,3.75,1,72,21,
1390594213539496828,The Tranquil Nook,4859526,Danielle,,Clinton,37.79442383327853,-122.2471465934369,Private room,48,3,7,2025-09-18,1.58,6,5,7,
1393038606881814554,Sunny 2 Bedroom - 7 Mins to SF,1556814,Tamra,,Oak Center,37.80945252953567,-122.2876314640906,Entire home/apt,200,14,0,,,13,360,0,
1394138889402637157,"Blueground | Northgate-Waverly, rooftop bbq",107434423,,,Waverly,37.81426320000001,-122.2645148,Entire home/apt,242,31,0,,,21,281,0,
1394567691876155260,Sunny Apartment in Lakeside Victorian,15323498,Alex,,Merritt,37.80017,-122.25297,Entire home/apt,140,30,0,,,1,362,0,
1397248295818991428,K0 | Private Bath | Central Oakland | Near BART,474861965,Echo,,Reservoir Hill-Meadow Brook,37.78762,-122.2279,Private room,48,2,4,2025-09-12,1.21,3,92,4,
1397332708260003810,Charming 2BD and 1 BA Pet Accepted Check descriptn,689502715,Carter,,Seminary,37.76533,-122.19898,Entire home/apt,115,2,0,,,1,359,0,
1398793616266817584,Remodeled two bed one bath Unit 3,318938165,Farzad,,Santa Fe,37.84467,-122.27073,Entire home/apt,166,5,4,2025-08-16,1.36,2,360,4,
1399466485554115605,5brm Modern Home Near Cal | Walk 2 BART |,99685402,Shailey,,Bushrod,37.84827850248926,-122.2688199531135,Entire home/apt,398,4,2,2025-08-24,0.41,7,87,2,
1399616206398822901,Retro and Cozy Experience,566246397,Fizza,,Waverly,37.811759,-122.262409,Private room,114,1,1,2025-05-20,0.23,1,364,1,
1400800792373259545,Nest by GLK #301 - 2Br/2BA condo on Lake Merritt,525081794,May,,Adams Point,37.80912350854627,-122.25014370370484,Entire home/apt,226,2,3,2025-08-14,0.57,4,323,3,
1401090010038906175,Luxurious Temescal Retreat near UC Berkeley,149641659,Alli,,Bushrod,37.84345142020063,-122.26528797976225,Entire home/apt,,2,2,2025-06-08,0.39,5,0,2,
1401131071879894295,theLondonSpa- private room,28029924,Rozh,,Produce And Waterfront,37.793980869514854,-122.270373654433,Private room,120,5,0,,,1,364,0,
1402248418202130638,"North Oakland 
2 bedroom 2 bath Craftsman",2209150,Connie,,Gaskill,37.84195,-122.28004,Entire home/apt,94,2,9,2025-07-27,2.33,1,76,9,
1402272662572639787,Sunny Garden Guesthouse,4200411,Cecilia,,Allendale,37.78768260329633,-122.2051364555955,Entire home/apt,116,2,6,2025-09-20,1.45,1,81,6,
1402297395516469049,Three Bedroom Beauty-Mins to SF,1556814,Tamra,,Oak Center,37.81156,-122.28693,Entire home/apt,280,5,0,,,13,364,0,
1403728223525313427,Spacious. Centrally Located 2B/1b,510842155,Grissette,,Lynn-Highland Park,37.8029566,-122.2360604,Entire home/apt,125,7,0,,,2,365,0,
1403832916765713539,studio privado,672839624,Daniel,,Rancho San Antonio,37.78927,-122.24342,Entire home/apt,81,2,4,2025-09-07,1.12,2,269,4,
1404027021312811775,Cozy Luxe Hillside Escape in Upper Rockridge,466585058,Sarah,,Upper Rockridge,37.84376,-122.24154,Entire home/apt,135,6,4,2025-07-28,0.77,1,81,4,
1404451492361383691,Beautiful Artistic Gem with Garden Patio,666201291,Dustin,,Fairview Park,37.8492154,-122.2551538,Entire home/apt,338,4,3,2025-08-19,0.82,4,220,3,
1404467594560414920,The Rosewood Retreat,4859526,Danielle,,Clinton,37.79466,-122.24718,Private room,,3,3,2025-07-28,0.74,6,1,3,
1406839596285517077,Honey comb hideout,669214835,Jackie,,Elmhurst Park,37.7469116,-122.1734624,Private room,78,1,0,,,1,365,0,
1407313502757937726,Private room in lake view condo,4511309,Benjamin,,Adams Point,37.8111318,-122.2559914,Private room,70,30,0,,,1,358,0,
1407602208377778729,cozy house,356628755,Luis,,Lynn-Highland Park,37.79924,-122.23046,Private room,60,5,1,2025-05-06,0.21,2,364,1,
1408772778711429056,Apartment by Lake Merritt,69543968,Raquel,,Clinton,37.79701570687038,-122.25071766161602,Entire home/apt,70,14,1,2025-07-24,0.47,1,87,1,
1409772876777161362,Furnished contemporary unit.,560419288,Vince,,Oakland Ave-Harrison St,37.8218356054179,-122.25869306414947,Entire home/apt,176,3,2,2025-07-21,0.46,1,332,2,
1409806075075882137,cottage and cozy home.,457894489,Eloisa,,Iveywood,37.74336,-122.16128,Entire home/apt,130,2,0,,,1,327,0,
1414436655688835207,Urban Retreat Unit A,507795192,Velisa,,Oak Center,37.80726,-122.2795,Entire home/apt,209,1,2,2025-08-10,1.05,3,289,2,
1414550845158604938,Stunning 4BR/3BA Retreat,391701095,Yihua,,Oakmore,37.814985618470175,-122.20633883353808,Entire home/apt,322,2,10,2025-08-24,2.73,1,63,10,
1414601916504008031,Montclair Mountain House Getaway,16344149,John,,Merriwood,37.84642799093464,-122.21039733898277,Entire home/apt,576,2,6,2025-08-17,1.41,1,204,6,
1415520069855582533,Sunset Suite,254646994,Ashley,,Northgate,37.81439,-122.26547,Entire home/apt,180,1,0,,,1,364,0,
1418392813138281131,Cozy Suite + Private Bath in Oakland Hills,49820911,Vuthy,,Golf Links,37.76090890176487,-122.15466369086843,Entire home/apt,55,28,2,2025-08-16,0.50,1,32,2,
1418436287085307230,Room 1 Red Bed 1 @ FacesOasis,195751579,Bruce,,South Prescott,37.803158756491776,-122.29525975739107,Shared room,27,1,0,,,12,364,0,
1418511119937878174,Spacious Victorian Home + Sleeps 16 + MINS TO SF,230670970,Jenuine,,North Kennedy Tract,37.77891008389912,-122.23443668305104,Entire home/apt,625,5,0,,,10,89,0,
1419087059820610587,The Cozy Abode,245340301,Alonya,,Frick,37.77272,-122.18622,Entire home/apt,113,4,3,2025-08-15,1.58,2,142,3,
1419587888204631236,Victorian Home Mins to SF,230670970,Jenuine,,Prescott,37.80974,-122.2961,Entire home/apt,525,5,0,,,10,89,0,
1419589740204876592,Cozy Victorian Home + Mins to SF,230670970,Jenuine,,North Kennedy Tract,37.77716,-122.23441,Entire home/apt,400,5,0,,,10,269,0,
